2019-04-29 00:30:54.570882 00:30:54 | 127.0.0.1:52372      LSD1 > asd
2019-04-29 00:30:54.570882 00:30:54 | 127.0.0.1:52372      LSD1 > hello
2019-04-29 00:30:54.570882 00:30:54 | 127.0.0.1:52372      LSD1 > bitch
2019-04-29 00:30:54.570882 00:30:54 | 127.0.0.1:52372      LSD1 has left the chat!
2019-04-29 00:52:31.781587 00:52:31 | 127.0.0.1:52589      LSD1 has join the chat!
2019-04-29 00:52:31.781587 00:52:31 | 127.0.0.1:52589      LSD1 > hi
2019-04-29 00:52:31.781587 00:52:31 | 127.0.0.1:52589      LSD1 > hello
2019-04-29 00:52:31.781587 00:52:31 | 127.0.0.1:52589      LSD1 > asd
2019-04-29 00:52:31.781587 00:52:31 | 127.0.0.1:52589      LSD1 > asd
2019-04-29 00:52:31.781587 00:52:31 | 127.0.0.1:52589      LSD1 > asd
2019-04-29 00:52:31.781587 00:52:31 | 127.0.0.1:52589      LSD1 > sad
2019-04-29 00:52:31.781587 00:52:31 | 127.0.0.1:52589      LSD1 > as
2019-04-29 00:52:31.781587 00:52:31 | 127.0.0.1:52589      LSD1 > da
2019-04-29 00:52:31.781587 00:52:31 | 127.0.0.1:52589      LSD1 > sd
2019-04-29 00:52:31.781587 00:52:31 | 127.0.0.1:52589      LSD1 > as
2019-04-29 00:52:31.781587 00:52:31 | 127.0.0.1:52589      LSD1 > da
2019-04-29 00:52:31.781587 00:52:31 | 127.0.0.1:52589      LSD1 > sd
2019-04-29 00:53:33.858771 00:53:33 | 127.0.0.1:52595      LSD1 has join the chat!
2019-04-29 00:53:33.858771 00:53:33 | 127.0.0.1:52595      LSD1 > hello
2019-04-29 00:53:33.858771 00:53:33 | 127.0.0.1:52595      LSD1 > hi
2019-04-29 01:02:00.701024 01:02:00 | 127.0.0.1:52622      LSD1 has join the chat!
2019-04-29 01:02:00.701024 01:02:00 | 127.0.0.1:52622      LSD1 > hi
2019-04-29 01:02:00.701024 01:02:00 | 127.0.0.1:52622      LSD1 > whats up
2019-04-29 01:02:00.701024 01:02:00 | 127.0.0.1:52622      LSD1 > c
2019-04-29 01:02:00.701024 01:02:00 | 127.0.0.1:52622      LSD1 > asd
2019-04-29 01:02:00.701024 01:02:00 | 127.0.0.1:52622      LSD1 > asd
2019-04-29 01:02:00.701024 01:02:00 | 127.0.0.1:52622      LSD1 > asd
2019-04-29 01:02:00.701024 01:02:00 | 127.0.0.1:52622      LSD1 > ad
2019-04-29 01:02:00.701024 01:02:00 | 127.0.0.1:52622      LSD1 has left the chat!
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57509      LSD1 has join the chat!
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57509      LSD1 has left the chat!
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57513      LSD1 has join the chat!
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57513      LSD1 > hi
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57513      LSD1 > hello
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57513      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57513      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57513      LSD1 has left the chat!
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57550      LSD1 has join the chat!
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57550      LSD1 has left the chat!
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57554      LSD1 has join the chat!
